Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0.0,ORtg,DRtg
510,Dennis Smith Jr.\smithde03,PG,24,POR,37,4,638,6.0,14.5,.418,0.5,2.1,.222,5.6,12.4,.451,3.2,4.9,.656,1.5,5.2,6.7,10.1,3.4,0.9,3.9,4.0,15.8,0.0,101,114
511,Ish Smith\smithis01,PG,33,TOT,65,1,1126,8.0,18.6,.430,1.1,2.9,.373,6.9,15.7,.441,0.6,1.0,.625,1.1,5.0,6.1,10.6,2.0,1.0,3.4,3.4,17.8,0.0,101,114
512,Jalen Smith\smithja04,PF,21,TOT,51,8,925,9.3,18.4,.503,2.1,6.4,.328,7.1,12.0,.596,4.1,5.4,.765,5.3,10.8,16.1,1.3,0.8,2.2,2.2,5.0,24.7,0.0,119,111
513,Xavier Sneed\sneedxa01,SF,24,TOT,9,0,39,2.5,12.6,.200,1.3,10.1,.125,1.3,2.5,.500,0.0,0.0,0.0,2.5,5.0,7.6,1.3,0.0,0.0,0.0,2.5,6.3,0.0,75,117
514,Tony Snell\snellto01,SG,30,TOT,53,12,823,4.1,10.2,.404,2.7,7.6,.352,1.4,2.6,.558,0.2,0.2,1.000,1.0,5.2,6.1,1.7,1.0,0.5,1.1,4.2,11.1,0.0,106,119
515,Jaden Springer\sprinja01,SG,19,PHI,2,0,6,8.3,8.3,1.000,0.0,0.0,0.0,8.3,8.3,1.000,0.0,0.0,0.0,8.3,8.3,16.6,0.0,0.0,16.6,8.3,0.0,16.6,0.0,101,95
516,Cassius Stanley\stanlca01,SG,22,DET,9,1,155,6.0,14.5,.413,1.3,5.4,.235,4.7,9.1,.517,3.1,3.1,1.000,1.6,4.4,6.0,1.3,1.6,0.6,1.9,5.4,16.4,0.0,101,116
517,Nik Stauskas\stausni01,SG,28,TOT,8,0,39,6.4,17.9,.357,5.1,12.8,.400,1.3,5.1,.250,5.1,7.7,.667,1.3,2.6,3.8,2.6,0.0,0.0,1.3,1.3,23.0,0.0,113,116
518,Lance Stephenson\stephla01,SG-SF,31,TOT,46,1,814,8.8,19.4,.455,1.6,5.4,.300,7.2,14.0,.515,3.8,4.8,.788,0.7,6.9,7.6,9.9,1.4,0.2,4.3,5.8,23.1,0.0,107,117
519,Lamar Stevens\stevela01,PF,24,CLE,63,13,1015,7.7,15.7,.489,0.9,3.2,.277,6.8,12.5,.543,2.6,3.7,.707,2.3,5.8,8.1,2.2,1.5,0.9,2.0,5.2,18.8,0.0,107,110
